Education Level,Years of Experience,Location,Industry,Job Title,Salary
Master's,16,Rural,Tech,Data Scientist,111494.4716208858
High School,28,Rural,Healthcare,Data Scientist,81027.99498192838
High School,5,Urban,Finance,Data Scientist,35575.05301267939
High School,13,Urban,Finance,Others,78217.10131083262
PhD,21,Suburban,Tech,Others,136138.8014428825
Bachelor's,5,Suburban,Finance,Project Manager,55775.99030207107
PhD,25,Rural,Healthcare,Business Analyst,142214.37645176926
High School,38,Suburban,Healthcare,Data Scientist,93057.84733474207
Bachelor's,11,Suburban,Education,Others,71695.4526232037
High School,34,Rural,Finance,Business Analyst,83630.52372839498
PhD,13,Urban,Finance,Data Scientist,103962.13485699648
PhD,21,Urban,Education,Business Analyst,118947.07004135785
PhD,22,Urban,Tech,Software Engineer,132271.35746041453
High School,6,Suburban,Education,Data Scientist,24609.85856582537
Bachelor's,39,Rural,Finance,Business Analyst,133897.70433064847
Bachelor's,24,Urban,Tech,Data Scientist,87378.57471302057
High School,12,Suburban,Healthcare,Data Scientist,46064.78796836488
Bachelor's,20,Rural,Healthcare,Software Engineer,74107.8361217577
High School,40,Urban,Education,Business Analyst,97318.47513504793
Bachelor's,9,Urban,Healthcare,Project Manager,68318.84148135493
Master's,8,Rural,Finance,Others,80092.10786671191
Master's,14,Suburban,Education,Data Scientist,83497.01239851114
PhD,1,Suburban,Finance,Data Scientist,92843.95530177794
Master's,24,Urban,Finance,Data Scientist,92919.1327333349
Master's,12,Rural,Tech,Data Scientist,78746.24500998578
Master's,33,Suburban,Tech,Others,90205.36910961194
High School,33,Rural,Tech,Project Manager,67604.91006515236
Master's,34,Rural,Healthcare,Software Engineer,115980.04526394534
Master's,37,Urban,Tech,Project Manager,118693.24917958038
PhD,2,Rural,Finance,Others,111248.63668973143
Master's,5,Rural,Education,Business Analyst,104278.17473721306
Master's,18,Rural,Education,Software Engineer,93023.81603679276
Bachelor's,2,Suburban,Finance,Software Engineer,44700.82242295711
PhD,17,Urban,Healthcare,Business Analyst,122939.16546358944
PhD,38,Urban,Education,Data Scientist,140168.08242032546
PhD,8,Rural,Finance,Others,110262.74277014974
PhD,11,Rural,Finance,Business Analyst,106451.30731204509
PhD,4,Suburban,Finance,Project Manager,93752.42153324225
PhD,2,Urban,Education,Project Manager,91761.14951781221
High School,10,Suburban,Education,Business Analyst,51217.7677836605
Master's,29,Urban,Tech,Others,97584.86104285141
PhD,3,Suburban,Tech,Software Engineer,106872.0124319787
Master's,4,Rural,Finance,Software Engineer,62092.62760498804
Master's,0,Suburban,Finance,Data Scientist,82141.43636061097
High School,26,Rural,Finance,Others,46157.99252083963
PhD,27,Urban,Finance,Project Manager,140375.02286361222
Bachelor's,28,Urban,Education,Project Manager,97369.57269376451
High School,17,Rural,Tech,Data Scientist,33043.44296348819
Bachelor's,11,Urban,Healthcare,Project Manager,50860.805833212624
Master's,12,Suburban,Finance,Data Scientist,73424.85329894832
Master's,40,Rural,Tech,Data Scientist,123456.8432656034
High School,1,Urban,Finance,Business Analyst,25010.158712202814
High School,36,Suburban,Education,Software Engineer,59046.51098828822
Bachelor's,15,Suburban,Healthcare,Others,86862.81082922386
PhD,23,Urban,Tech,Others,106704.15322071439
Bachelor's,34,Urban,Tech,Software Engineer,120473.17331549447
High School,21,Suburban,Healthcare,Others,61283.029916177955
Bachelor's,35,Rural,Education,Project Manager,76186.94066841439
High School,10,Urban,Healthcare,Project Manager,42081.61373077109
Bachelor's,28,Urban,Tech,Others,92375.16047204111
High School,34,Rural,Healthcare,Business Analyst,81429.3424340192
High School,14,Rural,Education,Others,57080.552605067016
High School,30,Urban,Education,Data Scientist,56572.400023286136
PhD,40,Rural,Finance,Data Scientist,129032.33129753948
Bachelor's,15,Suburban,Healthcare,Software Engineer,80361.41589041064
Bachelor's,9,Suburban,Healthcare,Project Manager,89059.82829944478
Bachelor's,31,Suburban,Tech,Business Analyst,84103.830100124
High School,1,Urban,Education,Others,38453.80583657001
Bachelor's,23,Rural,Healthcare,Data Scientist,75921.87622767041
Bachelor's,22,Suburban,Tech,Project Manager,87052.56545203204
High School,1,Rural,Finance,Project Manager,41976.76009750154
Master's,37,Suburban,Healthcare,Business Analyst,117656.77189140109
High School,30,Rural,Healthcare,Business Analyst,48728.86773205245
Bachelor's,39,Suburban,Tech,Business Analyst,104131.75795219086
High School,25,Suburban,Tech,Business Analyst,89472.83796486747
Master's,28,Suburban,Education,Data Scientist,114207.94705291152
High School,2,Suburban,Education,Business Analyst,18667.826192634668
Bachelor's,13,Suburban,Education,Project Manager,64204.669560310824
Master's,24,Suburban,Healthcare,Project Manager,125347.98241576809
PhD,0,Suburban,Tech,Others,105811.102179086
Bachelor's,2,Suburban,Education,Project Manager,55585.11325274422
Master's,25,Suburban,Healthcare,Project Manager,98958.27465892206
Master's,17,Rural,Education,Data Scientist,119746.18839368619
PhD,8,Rural,Finance,Project Manager,98166.06414844832
High School,37,Urban,Healthcare,Software Engineer,82179.9142584564
High School,22,Suburban,Education,Project Manager,51796.67461824967
Bachelor's,20,Rural,Education,Others,66229.81653011145
PhD,0,Rural,Finance,Others,118335.80429456598
High School,20,Rural,Finance,Business Analyst,71749.5786546059
PhD,26,Rural,Education,Data Scientist,129275.06683949722
High School,5,Rural,Education,Others,54593.25926721917
Master's,35,Rural,Tech,Software Engineer,125103.02173403151
High School,27,Urban,Education,Software Engineer,73702.08001319147
PhD,16,Rural,Education,Business Analyst,101956.82969883972
Master's,39,Urban,Tech,Data Scientist,137671.72821854055
Master's,2,Urban,Tech,Data Scientist,72299.75965416759
Master's,11,Suburban,Education,Project Manager,65843.51005559877
PhD,38,Suburban,Tech,Software Engineer,152125.7985660093
Bachelor's,11,Suburban,Healthcare,Software Engineer,67347.89631233427
Bachelor's,1,Rural,Finance,Software Engineer,64488.18906467238
Bachelor's,21,Suburban,Healthcare,Software Engineer,80290.52453931428
PhD,22,Rural,Finance,Others,131297.38111114473
Master's,29,Rural,Finance,Data Scientist,103538.06179928832
Bachelor's,4,Suburban,Education,Project Manager,67930.30175472735
PhD,8,Suburban,Finance,Others,94356.53032888236
Bachelor's,20,Urban,Healthcare,Data Scientist,77162.7296907476
High School,10,Urban,Education,Business Analyst,52873.43119179219
Bachelor's,4,Rural,Tech,Software Engineer,56197.79557355859
Bachelor's,34,Rural,Healthcare,Project Manager,90956.20241346034
Master's,26,Suburban,Education,Data Scientist,95544.8371462671
PhD,1,Suburban,Finance,Business Analyst,82424.59081710507
Master's,23,Urban,Healthcare,Software Engineer,105241.31943221604
Master's,30,Suburban,Finance,Business Analyst,116196.22541206586
Master's,32,Rural,Education,Business Analyst,123015.04406636508
Master's,38,Suburban,Education,Others,108545.13742909417
Master's,29,Urban,Tech,Business Analyst,112051.73361524926
Bachelor's,36,Rural,Tech,Others,107977.1695985991
Master's,27,Urban,Healthcare,Others,117850.62808602107
Master's,30,Urban,Tech,Business Analyst,111872.88239356564
PhD,10,Rural,Finance,Data Scientist,114475.08030327775
High School,22,Urban,Finance,Business Analyst,55225.92915306326
Bachelor's,1,Suburban,Tech,Business Analyst,45940.4260355291
Bachelor's,39,Suburban,Tech,Data Scientist,116080.01755448124
Bachelor's,40,Urban,Tech,Software Engineer,89471.45007181767
Master's,26,Suburban,Healthcare,Project Manager,105953.8770674402
Master's,34,Urban,Healthcare,Software Engineer,137537.1792759801
Master's,1,Suburban,Finance,Business Analyst,56630.42888480004
PhD,38,Urban,Healthcare,Software Engineer,118574.34395983406
High School,36,Suburban,Healthcare,Project Manager,80459.79973636876
Master's,20,Rural,Education,Software Engineer,92516.97921347969
High School,4,Rural,Finance,Project Manager,45910.22425386499
PhD,20,Suburban,Finance,Software Engineer,117981.62371778021
Bachelor's,28,Urban,Tech,Others,70784.10535872522
Master's,19,Suburban,Education,Business Analyst,109987.82419674196
High School,37,Urban,Tech,Project Manager,86060.29809768923
High School,19,Suburban,Healthcare,Business Analyst,42330.59663693488
Master's,24,Suburban,Finance,Others,102015.03627803248
Bachelor's,1,Rural,Healthcare,Software Engineer,34340.61245828272
Bachelor's,31,Urban,Healthcare,Business Analyst,86394.24882182738
Bachelor's,25,Urban,Education,Software Engineer,81420.99255554807
PhD,5,Urban,Education,Software Engineer,95722.77872295145
High School,40,Urban,Finance,Business Analyst,88582.77505487627
High School,2,Urban,Finance,Project Manager,22838.433188203293
High School,32,Rural,Education,Project Manager,54867.00285861179
PhD,0,Suburban,Education,Business Analyst,115337.1082913013
High School,4,Urban,Education,Project Manager,37018.67474021752
PhD,12,Urban,Education,Data Scientist,128885.82952760297
Bachelor's,18,Suburban,Finance,Software Engineer,85967.3678372679
Master's,11,Rural,Finance,Business Analyst,84443.34698509591
High School,24,Rural,Healthcare,Others,68769.64637339809
High School,34,Rural,Healthcare,Business Analyst,71061.15781967148
Bachelor's,11,Suburban,Healthcare,Business Analyst,86570.0068893244
Master's,29,Suburban,Finance,Software Engineer,122784.33691643413
PhD,4,Rural,Tech,Others,86447.27253973729
Master's,33,Rural,Healthcare,Software Engineer,126217.18836554725
Bachelor's,21,Suburban,Tech,Project Manager,93638.14341420252
Bachelor's,38,Rural,Tech,Business Analyst,95360.80951094926
Master's,12,Urban,Tech,Software Engineer,92017.49344805352
PhD,2,Suburban,Education,Data Scientist,106950.8895620512
PhD,19,Rural,Finance,Business Analyst,103902.27348374853
High School,30,Urban,Finance,Project Manager,77556.81432415491
PhD,4,Suburban,Healthcare,Software Engineer,108284.72505347339
Master's,23,Suburban,Healthcare,Software Engineer,112020.63687093508
Bachelor's,39,Urban,Finance,Data Scientist,99537.91586580902
High School,32,Suburban,Education,Project Manager,88518.73043034076
High School,7,Rural,Finance,Data Scientist,44406.5423672584
Bachelor's,23,Suburban,Tech,Business Analyst,76933.93907496078
PhD,19,Rural,Finance,Others,133469.82628448703
Bachelor's,15,Urban,Education,Software Engineer,77151.35243194556
PhD,11,Urban,Finance,Data Scientist,109114.7709117722
Bachelor's,12,Suburban,Finance,Software Engineer,90923.26387552703
Master's,38,Urban,Finance,Software Engineer,148837.89953427
PhD,24,Urban,Tech,Data Scientist,103253.0155010939
Master's,31,Suburban,Healthcare,Software Engineer,92527.82576566818
High School,23,Rural,Education,Project Manager,51745.08180357762
Bachelor's,8,Suburban,Tech,Project Manager,57080.85005275246
High School,39,Suburban,Finance,Others,63088.818016999365
High School,22,Rural,Finance,Project Manager,53668.81601260325
High School,12,Rural,Healthcare,Data Scientist,59349.68146782872
High School,31,Rural,Healthcare,Project Manager,61307.7094026492
Bachelor's,14,Suburban,Healthcare,Others,70687.35741030812
High School,35,Rural,Tech,Business Analyst,68651.76442480415
Bachelor's,4,Urban,Education,Business Analyst,54700.107124478556
Bachelor's,21,Rural,Healthcare,Data Scientist,86671.78681979774
Master's,15,Urban,Finance,Others,77272.18289584239
PhD,40,Rural,Education,Project Manager,161384.4548420231
PhD,9,Urban,Finance,Others,116446.0086525739
Bachelor's,23,Urban,Finance,Software Engineer,72692.28914490319
Master's,17,Urban,Education,Others,114954.10813564199
Bachelor's,17,Urban,Tech,Project Manager,53594.77588221594
Bachelor's,6,Urban,Education,Data Scientist,41599.59367587679
Bachelor's,3,Rural,Healthcare,Software Engineer,44577.21182735904
Master's,25,Suburban,Education,Others,121515.82968286918
PhD,4,Suburban,Healthcare,Business Analyst,89526.79170250622
Master's,15,Suburban,Healthcare,Project Manager,88619.06988439143
High School,34,Suburban,Education,Data Scientist,98260.36922017204
Master's,25,Suburban,Education,Project Manager,107830.3781726968
Master's,17,Urban,Healthcare,Others,112253.18092607574
Master's,28,Rural,Finance,Data Scientist,119967.17940987038
Master's,22,Urban,Education,Business Analyst,85938.96802837624
PhD,13,Rural,Tech,Software Engineer,112906.29216408335
High School,14,Rural,Healthcare,Others,63814.39820030832
PhD,32,Rural,Finance,Data Scientist,126187.61789167936
PhD,24,Rural,Education,Software Engineer,113921.54035908681
Master's,20,Suburban,Education,Data Scientist,90029.6109762321
Bachelor's,16,Rural,Finance,Others,90805.45308566224
Bachelor's,22,Rural,Tech,Data Scientist,96932.37317176064
PhD,16,Suburban,Healthcare,Business Analyst,103634.34424862669
PhD,13,Urban,Education,Data Scientist,110918.30178974346
Master's,28,Urban,Tech,Others,119705.9213671925
PhD,19,Urban,Healthcare,Data Scientist,140469.588396606
Master's,29,Urban,Tech,Software Engineer,126149.78036822457
Bachelor's,18,Rural,Healthcare,Software Engineer,89826.88775062804
Bachelor's,38,Suburban,Healthcare,Project Manager,96293.40180870112
High School,12,Suburban,Tech,Project Manager,44887.19919533164
Bachelor's,17,Urban,Healthcare,Business Analyst,74340.13111387157
PhD,22,Suburban,Education,Software Engineer,116637.76695543135
Bachelor's,32,Rural,Education,Project Manager,100679.0127548097
Master's,38,Urban,Tech,Data Scientist,149213.19748297601
Bachelor's,39,Rural,Tech,Business Analyst,91785.28991562506
High School,17,Rural,Healthcare,Others,48321.30274308582
Bachelor's,8,Rural,Healthcare,Project Manager,70057.30604418428
Master's,32,Rural,Tech,Project Manager,106978.27075316526
Master's,31,Rural,Finance,Software Engineer,112278.56975441666
PhD,16,Urban,Tech,Business Analyst,120010.6584365956
Bachelor's,18,Rural,Finance,Software Engineer,79332.78415186393
Master's,26,Urban,Finance,Software Engineer,94497.15523508666
High School,5,Suburban,Tech,Business Analyst,44297.06026481484
PhD,34,Rural,Tech,Data Scientist,116686.04431208404
High School,36,Rural,Tech,Project Manager,75057.85414859594
Bachelor's,33,Suburban,Finance,Software Engineer,108445.27505387562
Bachelor's,19,Urban,Education,Project Manager,85927.25227911705
Bachelor's,24,Rural,Education,Business Analyst,56774.13841863279
PhD,3,Suburban,Tech,Data Scientist,88241.51111859991
Master's,9,Suburban,Tech,Others,81258.69191037228
PhD,9,Rural,Healthcare,Data Scientist,110054.59636297896
High School,23,Urban,Healthcare,Business Analyst,77443.965054125
PhD,20,Urban,Healthcare,Data Scientist,134599.4838873902
High School,10,Rural,Tech,Others,47811.552006334154
PhD,26,Suburban,Education,Software Engineer,131990.74792280377
Master's,15,Rural,Education,Data Scientist,82366.77553456766
High School,25,Urban,Tech,Business Analyst,91789.28163634855
Bachelor's,29,Suburban,Tech,Data Scientist,104953.72790062116
Bachelor's,15,Rural,Finance,Others,63946.22209357538
PhD,6,Suburban,Finance,Business Analyst,119079.55175733291
Bachelor's,15,Urban,Education,Data Scientist,77569.35314906678
High School,34,Urban,Healthcare,Business Analyst,91981.68976061739
Bachelor's,15,Urban,Education,Others,78156.82254283306
Master's,39,Rural,Finance,Software Engineer,129549.70140489364
Master's,11,Suburban,Education,Others,82465.63356646593
PhD,34,Rural,Finance,Software Engineer,151348.56545267062
High School,20,Rural,Finance,Project Manager,50027.05057970334
Master's,35,Rural,Healthcare,Others,134968.88556958694
Master's,16,Rural,Healthcare,Software Engineer,89934.25755449748
High School,31,Suburban,Finance,Project Manager,59305.77327437591
Bachelor's,40,Suburban,Tech,Project Manager,107890.04315871689
Bachelor's,5,Rural,Healthcare,Project Manager,58410.130431102865
PhD,23,Rural,Finance,Business Analyst,118295.9237883099
Bachelor's,26,Urban,Tech,Others,88737.92021984271
High School,19,Urban,Tech,Others,63910.90566871103
Master's,24,Suburban,Education,Others,113201.65367376566
Bachelor's,1,Urban,Education,Others,56893.789386832206
PhD,8,Suburban,Healthcare,Business Analyst,103041.02856399072
Bachelor's,27,Suburban,Tech,Others,78024.44096229936
High School,37,Suburban,Healthcare,Software Engineer,99771.16728142311
PhD,2,Urban,Finance,Project Manager,77680.1429666769
Bachelor's,19,Urban,Healthcare,Business Analyst,70144.9082318491
PhD,5,Suburban,Tech,Business Analyst,86620.66648651197
High School,38,Suburban,Education,Others,72305.38161660125
Master's,32,Rural,Healthcare,Project Manager,114456.05724807308
High School,0,Suburban,Education,Software Engineer,28312.33915379791
High School,36,Suburban,Healthcare,Project Manager,95937.72783937852
High School,5,Rural,Finance,Data Scientist,48064.95917177117
High School,33,Suburban,Tech,Project Manager,87118.8465690847
Master's,14,Suburban,Healthcare,Software Engineer,92181.34641916254
Master's,25,Suburban,Finance,Software Engineer,120571.80257838454
PhD,13,Rural,Finance,Software Engineer,121904.45039542962
Bachelor's,6,Urban,Finance,Business Analyst,60487.81414532496
Master's,30,Suburban,Education,Business Analyst,110826.99098570483
Master's,23,Rural,Education,Data Scientist,98362.4790491986
Bachelor's,30,Suburban,Finance,Project Manager,89716.10335393989
Master's,28,Rural,Finance,Others,93019.83099716478
High School,31,Suburban,Healthcare,Data Scientist,69936.45267058042
High School,16,Rural,Healthcare,Others,60595.121912339746
Bachelor's,13,Urban,Tech,Others,89591.10635805244
PhD,39,Urban,Healthcare,Data Scientist,178972.1617559009
PhD,35,Urban,Tech,Project Manager,166817.144703007
Bachelor's,23,Suburban,Tech,Others,87485.4431682389
Bachelor's,26,Rural,Tech,Business Analyst,104533.16246947816
High School,24,Suburban,Education,Business Analyst,70567.8820583027
PhD,31,Suburban,Healthcare,Data Scientist,131504.0042361826
Master's,17,Rural,Finance,Others,111493.902890033
High School,17,Suburban,Tech,Data Scientist,50941.815601174996
Bachelor's,36,Rural,Finance,Business Analyst,119147.08975609543
PhD,25,Rural,Tech,Data Scientist,136070.60645553924
Master's,8,Urban,Healthcare,Others,75725.01160476267
Master's,34,Urban,Tech,Others,120539.38187879341
High School,7,Urban,Healthcare,Business Analyst,52677.97250221145
PhD,19,Rural,Finance,Software Engineer,120015.34420527914
PhD,21,Urban,Healthcare,Software Engineer,130130.95563342782
Bachelor's,18,Rural,Finance,Project Manager,80250.31122949021
PhD,29,Suburban,Healthcare,Business Analyst,155105.2011152671
PhD,27,Urban,Tech,Project Manager,139793.21330806194
High School,34,Rural,Tech,Business Analyst,61460.02216607145
PhD,10,Rural,Healthcare,Others,103105.60153849151
Master's,30,Rural,Finance,Business Analyst,135386.6887419831
High School,38,Rural,Finance,Data Scientist,78988.36851329016
High School,35,Urban,Finance,Project Manager,62801.30683289183
Bachelor's,29,Urban,Healthcare,Business Analyst,106426.70048285442
PhD,22,Urban,Healthcare,Project Manager,123903.884167743
Bachelor's,18,Rural,Healthcare,Business Analyst,70823.63953037298
Master's,11,Suburban,Healthcare,Software Engineer,91137.51835488288
High School,14,Rural,Finance,Project Manager,46579.729997979746
High School,30,Suburban,Finance,Others,65792.11087805012
High School,36,Urban,Education,Others,100183.99947747389
Master's,36,Rural,Healthcare,Business Analyst,116584.16165955171
Master's,14,Rural,Education,Others,98719.89778129899
Bachelor's,28,Urban,Healthcare,Others,82470.00789838469
Bachelor's,25,Rural,Education,Project Manager,78446.16169565778
Bachelor's,1,Suburban,Finance,Business Analyst,34448.04587888018
PhD,19,Suburban,Finance,Project Manager,115019.80842587409
High School,14,Suburban,Education,Business Analyst,56566.01941364407
High School,3,Rural,Tech,Others,19593.40736775755
Bachelor's,21,Rural,Healthcare,Business Analyst,64313.26441153466
High School,37,Suburban,Education,Business Analyst,90682.75414145604
Bachelor's,22,Rural,Education,Data Scientist,88839.64738760237
PhD,25,Suburban,Tech,Business Analyst,106516.84253512429
PhD,10,Urban,Finance,Data Scientist,117127.73851144355
Master's,27,Suburban,Education,Project Manager,113853.5574829023
PhD,1,Urban,Finance,Data Scientist,89151.98049468086
Bachelor's,7,Urban,Healthcare,Project Manager,43054.70337599587
PhD,28,Urban,Tech,Business Analyst,124791.32455108782
Master's,10,Suburban,Finance,Project Manager,94189.04052010634
High School,36,Suburban,Education,Others,97467.2520184336
Bachelor's,17,Rural,Tech,Business Analyst,57332.37182358737
High School,13,Rural,Tech,Data Scientist,56992.63510283778
Master's,9,Urban,Tech,Software Engineer,86821.75232708128
Master's,34,Suburban,Tech,Business Analyst,113009.62802235216
Master's,8,Rural,Tech,Others,78453.44870359598
High School,34,Rural,Healthcare,Project Manager,70154.0997872001
High School,10,Rural,Healthcare,Data Scientist,61329.226161542996
High School,11,Suburban,Tech,Data Scientist,47063.41814213058
High School,2,Rural,Education,Others,45376.68342010908
Master's,38,Urban,Education,Others,143019.5798328814
Master's,13,Suburban,Healthcare,Business Analyst,88613.02074408568
Bachelor's,27,Rural,Finance,Software Engineer,98500.90180435136
Bachelor's,10,Rural,Tech,Software Engineer,83088.35072079892
High School,38,Suburban,Education,Project Manager,98380.83339513904
PhD,24,Rural,Healthcare,Data Scientist,127602.68903447353
PhD,20,Rural,Healthcare,Business Analyst,120485.08982287627
Master's,9,Urban,Finance,Data Scientist,72271.81983627687
Master's,14,Suburban,Finance,Business Analyst,75665.26157160083
Master's,18,Rural,Education,Others,97016.16253061454
Bachelor's,21,Suburban,Finance,Project Manager,79220.8858414092
Bachelor's,20,Suburban,Finance,Others,87323.72969688513
Master's,31,Urban,Tech,Data Scientist,91583.86946018765
Master's,22,Urban,Healthcare,Project Manager,115642.97520157137
Master's,12,Suburban,Healthcare,Business Analyst,82220.19744469794
PhD,4,Urban,Finance,Business Analyst,97345.13781532549
Bachelor's,3,Urban,Healthcare,Project Manager,61295.11846032846
PhD,27,Rural,Healthcare,Others,160570.05320117323
PhD,13,Urban,Education,Project Manager,111145.41800406098
Master's,7,Urban,Healthcare,Others,70243.63017290959
Master's,8,Rural,Finance,Project Manager,77897.07487070776
High School,34,Rural,Education,Others,102985.34023146481
High School,36,Suburban,Healthcare,Software Engineer,77082.43396916546
PhD,20,Urban,Healthcare,Project Manager,124558.24374090307
Bachelor's,17,Rural,Education,Others,61967.68844660931
Master's,32,Urban,Education,Data Scientist,98977.74702382706
Master's,7,Suburban,Healthcare,Data Scientist,84932.07755823928
PhD,16,Urban,Tech,Project Manager,101969.63140402068
High School,30,Urban,Tech,Project Manager,71250.11016425183
Bachelor's,33,Urban,Healthcare,Business Analyst,121381.89358694635
High School,5,Rural,Healthcare,Others,33628.0706326897
High School,21,Rural,Education,Project Manager,53193.36710015848
High School,13,Suburban,Education,Data Scientist,56959.778671195534
High School,2,Urban,Healthcare,Data Scientist,27411.85326678891
Master's,11,Suburban,Healthcare,Data Scientist,77721.19965889947
Master's,35,Suburban,Healthcare,Others,138277.80722953097
High School,11,Rural,Healthcare,Software Engineer,50780.32610479845
Bachelor's,1,Urban,Tech,Project Manager,64620.47363653052
PhD,1,Urban,Education,Software Engineer,83248.07928372141
Bachelor's,14,Suburban,Finance,Others,84526.96173781111
Bachelor's,22,Urban,Healthcare,Project Manager,74015.30521073563
Bachelor's,28,Rural,Healthcare,Business Analyst,91517.9780030123
High School,16,Suburban,Healthcare,Project Manager,51679.37555290725
Master's,31,Suburban,Finance,Project Manager,97821.90989390278
Bachelor's,6,Rural,Education,Project Manager,44003.841926215566
High School,29,Rural,Education,Project Manager,81546.30315814774
Bachelor's,27,Rural,Healthcare,Project Manager,73914.52363644057
Bachelor's,13,Rural,Healthcare,Others,98463.03586756249
High School,29,Rural,Education,Project Manager,58825.66201101424
Master's,16,Rural,Finance,Others,71938.53433367002
Master's,31,Suburban,Healthcare,Project Manager,121290.89718928325
PhD,5,Urban,Finance,Project Manager,92483.43367739751
High School,23,Urban,Finance,Others,62254.657981988195
PhD,5,Suburban,Education,Project Manager,85688.66514987117
PhD,26,Urban,Healthcare,Data Scientist,123158.86858069956
PhD,17,Urban,Tech,Project Manager,98757.73930142907
Master's,23,Suburban,Education,Business Analyst,99620.92602289036
High School,36,Urban,Education,Others,89484.6746051152
PhD,23,Urban,Tech,Project Manager,116245.67730386104
High School,37,Suburban,Healthcare,Project Manager,108554.91371108811
High School,33,Urban,Finance,Others,71911.7999919922
Master's,39,Rural,Finance,Software Engineer,148142.46542162148
PhD,14,Suburban,Finance,Data Scientist,111757.67324600476
PhD,10,Urban,Healthcare,Data Scientist,104706.81298434363
High School,21,Urban,Education,Project Manager,73446.18682789568
Bachelor's,23,Rural,Education,Others,78394.52184121816
Master's,0,Suburban,Education,Business Analyst,69266.90217885855
Master's,17,Suburban,Education,Project Manager,94054.44965446861
Master's,11,Urban,Education,Data Scientist,77388.84401977483
Master's,27,Rural,Tech,Project Manager,111566.11094094433
PhD,39,Rural,Finance,Others,160904.43419443737
PhD,6,Rural,Finance,Business Analyst,101705.81615970071
Bachelor's,22,Rural,Healthcare,Software Engineer,81256.80552069422
Master's,20,Rural,Tech,Business Analyst,109087.4315390212
Master's,33,Rural,Education,Project Manager,120350.8167097084
High School,10,Suburban,Education,Data Scientist,44490.76053130505
PhD,21,Urban,Education,Others,133614.54116136872
Master's,34,Urban,Tech,Project Manager,91516.54390795314
Bachelor's,28,Rural,Healthcare,Software Engineer,109662.74380466947
Bachelor's,27,Suburban,Tech,Others,98433.1540519096
PhD,17,Suburban,Healthcare,Others,105590.83367197553
Bachelor's,13,Rural,Finance,Others,80014.83217717253
Bachelor's,17,Urban,Healthcare,Project Manager,93326.67445559539
PhD,27,Rural,Finance,Software Engineer,122644.63489881056
Master's,23,Suburban,Healthcare,Project Manager,96039.12556318582
Master's,7,Rural,Finance,Others,88922.52717564226
Bachelor's,7,Urban,Finance,Others,68758.96856001928
Bachelor's,3,Urban,Education,Data Scientist,49701.93505219128
Master's,26,Suburban,Healthcare,Business Analyst,101945.33855986057
PhD,35,Rural,Education,Project Manager,134312.9210448055
Bachelor's,4,Rural,Finance,Software Engineer,65709.76990516842
High School,32,Suburban,Education,Others,88976.93314772256
PhD,33,Rural,Tech,Project Manager,118485.82537153988
Bachelor's,29,Suburban,Education,Business Analyst,87713.03457330281
Bachelor's,7,Rural,Healthcare,Project Manager,47475.478795166426
High School,38,Urban,Education,Business Analyst,77900.18016767639
High School,25,Suburban,Tech,Project Manager,74370.92737358238
Master's,36,Rural,Education,Data Scientist,147675.59269366352
PhD,33,Rural,Finance,Project Manager,146675.567386382
PhD,6,Rural,Finance,Data Scientist,84367.98362913603
Master's,39,Suburban,Finance,Business Analyst,137888.71138229762
PhD,27,Urban,Healthcare,Others,152718.5850637424
PhD,38,Rural,Education,Others,150443.6725527078
PhD,38,Suburban,Finance,Project Manager,123786.58378851345
PhD,27,Rural,Education,Software Engineer,126047.82063538455
PhD,13,Urban,Tech,Project Manager,112924.77602281915
High School,37,Urban,Tech,Data Scientist,84105.6845619766
PhD,3,Urban,Healthcare,Data Scientist,92184.1471849026
High School,17,Suburban,Education,Business Analyst,44876.124660988244
PhD,24,Rural,Tech,Project Manager,137526.09884216439
Master's,6,Suburban,Healthcare,Business Analyst,81152.85888074101
Bachelor's,37,Rural,Healthcare,Software Engineer,96234.27977564052
High School,27,Suburban,Finance,Others,85698.1045628579
PhD,4,Rural,Tech,Others,96478.70828779081
Master's,2,Suburban,Education,Project Manager,65371.47088055609
Bachelor's,30,Rural,Tech,Business Analyst,97740.49759610987
High School,19,Suburban,Tech,Business Analyst,64142.892064273154
Bachelor's,18,Urban,Education,Software Engineer,69037.78357917833
Master's,10,Suburban,Education,Business Analyst,80585.18251924579
High School,39,Urban,Finance,Data Scientist,105614.16795854826
Bachelor's,2,Urban,Healthcare,Data Scientist,52352.16585469896
PhD,22,Rural,Education,Data Scientist,115968.56326961124
High School,6,Urban,Education,Project Manager,49719.65068325379
Bachelor's,22,Urban,Tech,Data Scientist,79529.95672512734
Master's,6,Rural,Education,Data Scientist,63832.46860405039
Master's,33,Suburban,Education,Others,122154.63359991937
High School,18,Suburban,Tech,Project Manager,82166.49787083633
Bachelor's,8,Urban,Tech,Data Scientist,74452.95450152052
High School,17,Suburban,Tech,Software Engineer,72748.08796072725
High School,40,Urban,Finance,Data Scientist,74576.28386284271
Bachelor's,24,Suburban,Healthcare,Project Manager,76005.18821662181
Bachelor's,13,Suburban,Education,Business Analyst,77536.33173246052
PhD,24,Suburban,Tech,Others,138440.4895982703
Bachelor's,18,Urban,Tech,Others,69842.49098717645
Master's,38,Rural,Healthcare,Project Manager,138205.81627170168
High School,14,Suburban,Finance,Data Scientist,54383.828323559464
High School,15,Suburban,Education,Software Engineer,39351.29784314626
